recordId,name,url,location,overallRating,venueRating,serviceRating,foodRating,reviews,tags,price,capacity,rooms
recKaXi4V1Btom2hw,The Clifford Pier @ The Fullerton Bay Hotel,https://www.bridely.sg/venue/the-clifford-pier-the-fullerton-bay-hotel/r/recKaXi4V1Btom2hw,Central Area,4.7,4.7,4.5,4.4,20,"Restaurant, Colonial/Historical, Indoor, Outdoor, Waterfront",From $333/pax,150-280 pax,"[{""name"": ""Main Hall"", ""capacity"": ""150-280 pax"", ""price"": ""From $333/pax""}]"
recFGCc3qhW32gxmn,Copthorne King's Hotel Singapore,https://www.bridely.sg/venue/copthorne-king-s-hotel-singapore/r/recFGCc3qhW32gxmn,Central Area,4.2,4.1,4.4,4,49,"Hotel, Ballroom, Indoor",From $136/pax,150-300 pax,"[{""name"": ""Ballroom"", ""capacity"": ""150-300 pax"", ""price"": ""From $136/pax""}]"
recMc3FNfo9IXeX4e,Fairmont Singapore and Swissotel The Stamford,https://www.bridely.sg/venue/fairmont-singapore-and-swissotel-the-stamford/r/recMc3FNfo9IXeX4e,Central Area,4.3,4.2,3.8,4,40,"Hotel, Ballroom, Glasshouse, Indoor",From $219/pax,700-1400 pax,"[{""name"": ""Fairmont Ballroom"", ""capacity"": ""700-1400 pax"", ""price"": ""From $219/pax""}, {""name"": ""Stamford Ballroom"", ""capacity"": ""250-480 pax"", ""price"": ""From $219/pax""}, {""name"": ""Atrium Ballroom"", ""capacity"": ""150-280 pax"", ""price"": ""From $219/pax""}, {""name"": ""SKAI Suites on Level 69"", ""capacity"": ""150-180 pax"", ""price"": ""From $238/pax""}]"
recMkSVcpX7cp7NMv,Flutes,https://www.bridely.sg/venue/flutes/r/recMkSVcpX7cp7NMv,Bras Basah,4.6,4.6,4.5,4.5,22,Restaurant,"From $16,888",80-90 pax,"[{""name"": ""Restaurant Buyout"", ""capacity"": ""80-90 pax"", ""price"": ""From $16,888""}]"
recGmi8cWilq2rlHu,Furama RiverFront,https://www.bridely.sg/venue/furama-riverfront/r/recGmi8cWilq2rlHu,Central Area,3.8,3.6,3.7,3.6,96,"Hotel, Chinese, Indian, Muslim-friendly, Garden & Greenery, Glasshouse, Indoor",From $78/pax,100-150 pax,"[{""name"": ""Apollo"", ""capacity"": ""100-150 pax"", ""price"": ""From $78/pax""}, {""name"": ""Jupiter"", ""capacity"": ""150-250 pax"", ""price"": ""From $153/pax""}, {""name"": ""Mercury"", ""capacity"": ""180-340 pax"", ""price"": ""From $157/pax""}, {""name"": ""Mercury I & II"", ""capacity"": ""100-120 pax"", ""price"": ""From $162/pax""}, {""name"": ""Venus Grand"", ""capacity"": ""350-480 pax"", ""price"": ""From $168/pax""}, {""name"": ""Venus II or III"", ""capacity"": ""200-250 pax"", ""price"": ""From $171/pax""}, {""name"": ""Venus I"", ""capacity"": ""100-120 pax"", ""price"": ""From $171/pax""}, {""name"": ""The Waterfall"", ""capacity"": ""150-200 pax"", ""price"": ""From $176/pax""}]"
jpwedding,JP Wedding,https://www.bridely.sg/venue/jp-wedding/r/jpwedding,Singapore,4.9,5,4.9,4,9,"Chapel, Ballroom, Colonial/Historical, Garden & Greenery, Indoor, Outdoor, Pet Friendly",,,[]
recpIhlNS9DIgpfoP,Sky Garden Sentosa,https://www.bridely.sg/venue/sky-garden-sentosa/r/recpIhlNS9DIgpfoP,Southern Islands,4.5,4.5,4.3,4.2,28,"Hotel, Garden & Greenery, Glasshouse, Indoor, Outdoor, Rooftop, Waterfront",From $189/pax,100-150 pax,"[{""name"": ""Sky Garden"", ""capacity"": ""100-150 pax"", ""price"": ""From $189/pax""}]"
recE2FB5imvj7R2ID,Straits Chinese Nonya Restaurant 土生坊正宗娘惹餐馆 (1953),https://www.bridely.sg/venue/straits-chinese-nonya-restaurant-1953/r/recE2FB5imvj7R2ID,Central Area,4.8,5,4.8,4.8,13,Restaurant,From $68/pax,20-100 pax,"[{""name"": ""Main Dining"", ""capacity"": ""20-100 pax"", ""price"": ""From $68/pax""}]"
rec2JkFNKsorfUaNN,Amara Singapore,https://www.bridely.sg/venue/amara-singapore/r/rec2JkFNKsorfUaNN,Tanjong Pagar,4.3,4.5,4.1,4.2,34,"Hotel, Ballroom, Indoor",From $202/pax,200-400 pax,"[{""name"": ""Grand Ballroom"", ""capacity"": ""200-400 pax"", ""price"": ""From $202/pax""}]"
reckpwImqGRppNBIc,Novotel on Kitchener Road,https://www.bridely.sg/venue/novotel-on-kitchener-road/r/reckpwImqGRppNBIc,Kallang,4.5,3.9,4.3,4.2,24,Hotel,From $154/pax,120-250 pax,"[{""name"": ""Emerald Ballroom"", ""capacity"": ""120-250 pax"", ""price"": ""From $154/pax""}, {""name"": ""CALI"", ""capacity"": """", ""price"": """"}, {""name"": ""Emerald Ballroom"", ""capacity"": """", ""price"": """"}]"
