_id,name,slug,category,state,city,address,venue_minCapacity,venue_maxCapacity,venue_minPrice,venue_maxPrice,venue_indoorOutdoor
683948ab7e5df6960d6d5c6e,Lumi Marketplace (LMP),lumi-marketplace-(lmp),venues,Selangor,Petaling Jaya,"Persiaran Tropicana, Tropicana, 47800 Petaling Jaya, Selangor, Malaysia",10,210,95,200,Indoor_Only
683e93a514b6d6d410863e71,Bayswater at KLCC,bayswater-at-klcc,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"8, Jalan Sejahtera, Kampung Datuk Keramat, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",1,500,2088,3888,Covered_Outdoor_Only
683ea05714b6d6d410865094,The Luna Grand Ballroom Kuala Lumpur,the-luna-grand-ballroom-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"Level 7, Wisma IAV, 86, Jalan Pasar, Pudu, 55100 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",1,450,2088,2888,Covered_Outdoor_Only
683eaef414b6d6d4108660fc,Ukay Hills - Private Event Estate & Lifestyle Suites,ukay-hills---private-event-estate-&-lifestyle-suites,venues,Selangor,Ampang,"Jalan Kelab Ukay Utama, Taman Kelab Ukay, 68000 Ampang, Selangor, Malaysia",1,550,2288,3588,Indoor_Only
683eb87d14b6d6d410868127,The Grey Box (GMBB),the-grey-box-(gmbb),venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"2, Jalan Robertson, Bukit Bintang, 50150 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50,150,8000,8000,Covered_Outdoor_Only
68415c84d66e7d309284a70e,RAMA V,rama-v,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"5, Jalan U Thant, Kelab Golf di Raja Selangor, 55000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",50,180,50,268,Covered_Outdoor_Only
6843aaf267e26917c4579d7c,Maison Eleven - Lifestyle Event Venue,maison-eleven---lifestyle-event-venue,venues,Selangor,Shah Alam,"Level 11, Courtyard By Marriott, Jln Setia Dagang AH U13/AH, Setia Alam, 40170 Shah Alam, Selangor, Malaysia",1,250,200,30000,Covered_Outdoor_Only
68493a2202d4bb7faade4644,M World Hotel Petaling Jaya,m-world-hotel-petaling-jaya,venues,Selangor,Petaling Jaya,"1, Persiaran Bandar Utama, Bandar Utama, 47800 Petaling Jaya, Selangor, Malaysia",50,500,188.8,198.8,Indoor_Only
6849448502d4bb7faade6954,Pullman KLCC,pullman-klcc,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"4, Jalan Conlay, Kuala Lumpur, 50450 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",150,420,198.8,5888,Indoor_Only
684bcedbae485a22bdfae155,Eastin Hotel,eastin-hotel,venues,Selangor,Petaling Jaya,"Pusat Dagang, 13, Jalan 16/11, Seksyen 16, 46350 Petaling Jaya, Selangor, Malaysia",100,500,228,268,Indoor_Only
684d2326ae485a22bdfb9009,Holiday Inn Sepang Airport,holiday-inn-sepang-airport,venues,Selangor,Sepang,"SE MY, Kip Sentral, Jalan Warisan Sentral, Kota Warisan, 43900 Sepang, Selangor, Malaysia",100,400,170,15000,Covered_Outdoor_Only
684d2d2bae485a22bdfbad01,ELSE Kuala Lumpur,else-kuala-lumpur,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"145, Jalan Tun H S Lee, City Centre, 50000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",10,120,10000,18000,Indoor_Only
68565a619a928f37b3fb74ec,WG Glassbox Cyberjaya,wg-glassbox-cyberjaya,venues,Selangor,Cyberjaya,"Level 4, Block E, Park at L2, Tamarind Square, Persiaran Multimedia, Cyberjaya, 63000 Cyberjaya, Selangor, Malaysia",50,150,16500,16500,Covered_Outdoor_Only
68565c339a928f37b3fb9e12,Glasshouse at Seputeh,glasshouse-at-seputeh,venues,Wilayah Persekutuan Kuala Lumpur,Kuala Lumpur,"17, Lorong Syed Putra Kiri, Bukit Seputeh, 50460 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",100,400,10000,22000,Covered_Outdoor_Only
