dinner_price,lunch_price,name,price_lists,profile_url,rating,tables_max,tables_min,tables_range
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Hilltop Garden,,,,62,8,8 - 62Mon - Sun
$698-$1118Mon - Sun,$698-$1118Mon - Sun,Qian Xi Joy Garden,,,,130,15,15 - 130Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Jubilee Garden,,,,116,22,22 - 116Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Paya Lebar,,,,100,12,12 - 100Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Pearl Garden,,,,120,17,17 - 120Mon - Sun
$1138–$1758Mon - Sun,$1138–$1758Mon - Sun,Qian Xi Summer Garden,,,,90,10,10 - 90Mon - Sun
$3093–$3453Mon - Fri$3573–$3933Sat - Sun,$3093–$3453Mon - Sun,Raffles Hotel,,,,30,8,8 - 30Mon - Sun
$2264–$2863Mon - Sun,$2264–$2863Mon - Sun,Red House Seafood,,,,14,1,1 - 14Mon - Sun
$1605++Mon - Thu$1725++Friday$1795++Saturday$1725++Sunday,$1605++Mon - Sun,Rendezvous Hotel Singapore at Bras Basah,,,,15,10,10 - 15Mon - Sun
$2264–$2504Mon - Thu$2384–$2504Thu - Sat$2264–$2504Sunday,$2264–$2384Mon - Sun,"Resorts World Sentosa, Convention Centre",,,,196,15,15 - 196Mon - Sun
$2362 - $3075Mon - Sun,$2005 - $2362Mon - Sun,Shangri-La Hotel,,,,100,6,6 - 100Mon - Sun
$651-$950Mon - Fri$683-$1004Sat - Sun,$651-$651Mon - Fri$683-$683Sat - Sun,Shin Yeh,,,,36,24,24 - 36Mon - Thu26 - 36Fri - Sun
$2374++Mon - Sun,$2374++Mon - Sun,Shisen Hanten,,,,12,10,10 - 12Mon - Sun
$1894–$2374Mon - Thu$2014–$2494Fri - Sun,$1775–$2254Mon - Thu$$1894–$2374Fri - Sun,Sky Garden Sentosa,,,,16,10,10 - 16Mon - Sun
